Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2016-12-07 01:39:10;2016-12-07 07:30:10;50%;5:50;:|;;66;2984
2016-12-08 00:39:00;2016-12-08 07:30:13;71%;6:51;:|;;83;2439
2016-12-09 01:56:33;2016-12-09 07:11:05;0%;0:00;;;;2062
2016-12-10 02:49:11;2016-12-10 08:39:29;66%;5:50;:);;85;3740
2016-12-10 23:08:55;2016-12-11 08:32:38;81%;9:23;:);;77;1085
2016-12-11 23:58:36;2016-12-12 07:31:09;78%;7:32;:(;;;1044
2016-12-13 00:43:12;2016-12-13 07:23:15;67%;6:40;:|;;69;3719
2016-12-14 02:02:45;2016-12-14 07:30:26;49%;5:27;:|;;78;5881
2016-12-15 00:38:04;2016-12-15 07:30:16;80%;6:52;:|;;60;2846
2016-12-16 02:37:26;2016-12-16 07:28:46;56%;4:51;:|;;54;3499
2016-12-17 02:15:44;2016-12-17 08:54:00;0%;0:00;;;;4790
2016-12-18 01:11:50;2016-12-18 08:56:07;61%;7:44;:);;80;3592
2016-12-19 01:26:03;2016-12-19 02:08:03;0%;0:00;;;;3427
2016-12-19 06:37:51;2016-12-19 07:30:43;11%;0:52;:(;;;171
2016-12-20 01:51:48;2016-12-20 07:30:41;45%;5:38;:|;;69;2123
2016-12-21 00:52:20;2016-12-21 07:32:01;63%;6:39;:|;;61;2099
2016-12-22 00:25:45;2016-12-22 07:11:49;72%;6:46;:);;76;2767
2016-12-23 01:35:00;2016-12-23 10:21:27;97%;8:46;:);;69;2252
2016-12-24 04:32:08;2016-12-24 10:52:55;75%;6:20;:);;96;986
2016-12-25 05:22:22;2016-12-25 11:53:26;75%;6:31;:);;85;1847
2016-12-26 01:42:59;2016-12-26 12:22:59;0%;0:00;;;;782
2016-12-26 23:16:56;2016-12-27 09:47:08;86%;10:30;:);;77;356
2016-12-28 02:18:20;2016-12-28 11:32:49;90%;9:14;:);;99;2352
2016-12-28 22:20:35;2016-12-29 08:29:59;84%;10:09;:);;78;418
2016-12-30 04:02:36;2016-12-30 09:50:45;71%;5:48;:);;102;1433
2016-12-31 04:52:50;2016-12-31 11:35:19;79%;6:42;:);;98;3055
2017-01-01 04:59:14;2017-01-01 11:42:07;64%;6:42;:);;84;2500
2017-01-02 00:41:36;2017-01-02 10:53:59;100%;10:12;:);;83;1584
2017-01-03 01:53:59;2017-01-03 07:41:11;63%;5:47;:);;86;1193
2017-01-04 00:22:57;2017-01-04 07:38:12;75%;7:15;:|;;;2477
2017-01-05 01:15:00;2017-01-05 07:45:19;79%;6:30;:);;73;2340
2017-01-06 02:48:19;2017-01-06 07:43:18;62%;4:54;:|;;91;3133
2017-01-07 01:55:48;2017-01-07 10:46:43;99%;8:50;:);;70;2453
2017-01-08 03:51:38;2017-01-08 11:19:56;86%;7:28;:);;89;2718
2017-01-08 23:49:36;2017-01-09 07:43:33;89%;7:53;:|;;62;1557
2017-01-10 01:02:19;2017-01-10 07:43:21;77%;6:41;:);;66;2957
2017-01-11 02:05:07;2017-01-11 07:38:43;64%;5:33;:|;;90;3426
2017-01-12 00:34:11;2017-01-12 07:28:08;78%;6:53;:|;;;3970
2017-01-12 23:09:36;2017-01-13 07:20:35;79%;8:10;:|;;87;3657
2017-01-14 01:44:24;2017-01-14 10:59:31;100%;9:15;:);;73;2968
2017-01-15 02:02:24;2017-01-15 08:52:25;80%;6:50;:);;89;1987
2017-01-17 00:23:29;2017-01-17 09:34:13;100%;9:10;:);;74;4668
2017-01-17 23:13:06;2017-01-18 08:29:40;100%;9:16;:);;103;3386
2017-01-19 03:28:32;2017-01-19 08:19:30;60%;4:50;:);;96;1437
2017-01-20 02:57:45;2017-01-20 09:37:06;71%;6:39;:);;72;1757
2017-01-21 02:25:10;2017-01-21 10:53:27;80%;8:28;:);;95;2053
2017-01-21 22:57:46;2017-01-22 02:19:46;0%;0:00;;;;2658
2017-01-22 02:46:55;2017-01-22 09:42:41;78%;6:55;:);;78;2658
2017-01-22 23:43:08;2017-01-23 06:59:53;85%;7:16;:);;70;809
2017-01-24 00:41:05;2017-01-24 06:51:45;73%;6:10;:);;;5268
2017-01-24 23:14:27;2017-01-25 07:00:09;89%;7:45;:);;81;3944
2017-01-25 23:33:59;2017-01-26 06:58:31;90%;7:24;:|;;;6383
2017-01-26 23:12:29;2017-01-27 06:57:32;76%;7:45;:);;78;3701
2017-01-28 22:47:15;2017-01-29 10:20:00;77%;11:32;:);;79;2184
2017-01-30 00:06:09;2017-01-30 06:50:42;79%;6:44;:);;64;1790
2017-01-30 23:23:09;2017-01-31 06:54:52;62%;7:31;:|;;61;3826
2017-02-01 00:38:03;2017-02-01 06:57:16;63%;6:19;:);;89;3848
2017-02-01 23:56:00;2017-02-02 06:58:37;79%;7:02;:);;75;3383
2017-02-02 23:55:24;2017-02-03 06:41:43;77%;6:46;:);;71;4009
2017-02-04 04:00:30;2017-02-04 09:02:19;61%;5:01;:);;86;3007
2017-02-05 00:16:23;2017-02-05 08:59:31;100%;8:43;:);;78;759
2017-02-06 01:55:08;2017-02-06 06:57:30;47%;5:02;:);;67;3217
2017-02-07 00:33:41;2017-02-07 07:00:21;70%;6:26;:|;;;3382
2017-02-07 23:58:11;2017-02-08 06:58:03;72%;6:59;:|;;68;4279
2017-02-09 00:09:13;2017-02-09 06:56:50;71%;6:47;:|;;60;4292
2017-02-10 00:06:44;2017-02-10 06:42:25;66%;6:35;:|;;65;3949
2017-02-11 00:12:56;2017-02-11 10:06:58;88%;9:54;:);;77;3645
2017-02-12 00:22:21;2017-02-12 10:01:11;83%;9:38;:);;68;1636
2017-02-13 00:04:30;2017-02-13 06:59:56;76%;6:55;:|;;55;1818
2017-02-13 23:54:07;2017-02-14 07:00:30;77%;7:06;:|;;68;3034
2017-02-15 01:02:55;2017-02-15 06:59:01;64%;5:56;:|;;84;4698
2017-02-16 01:08:27;2017-02-16 06:54:30;49%;5:46;:|;;84;3683
2017-02-17 00:13:38;2017-02-17 06:53:17;78%;6:39;:|;;80;3632
2017-02-18 01:59:43;2017-02-18 09:59:03;94%;7:59;:|;;86;3507
2017-02-18 22:34:20;2017-02-19 09:48:00;96%;11:13;:);;94;2009
2017-02-20 01:03:08;2017-02-20 07:00:21;58%;5:57;:|;;62;1562
2017-02-20 22:51:45;2017-02-21 07:01:46;84%;8:10;:(;;62;4003
2017-02-22 01:02:36;2017-02-22 06:59:00;55%;5:56;:(;;65;4124
2017-02-23 01:07:13;2017-02-23 07:00:24;67%;5:53;:|;;82;3598
2017-02-24 00:59:40;2017-02-24 07:00:56;56%;6:01;:|;;74;3614
2017-02-25 03:27:57;2017-02-25 11:23:01;91%;7:55;:|;;80;3369
2017-02-26 03:44:40;2017-02-26 12:46:52;93%;9:02;:);;72;804
2017-02-27 00:36:34;2017-02-27 06:57:14;58%;6:20;:|;;61;1202
2017-02-28 01:40:15;2017-02-28 06:59:27;57%;5:19;:|;;76;3209
2017-03-01 01:43:14;2017-03-01 06:44:45;44%;5:01;:|;;87;4206
2017-03-02 01:20:16;2017-03-02 07:00:33;52%;5:40;:|;;63;3377
2017-03-03 03:33:14;2017-03-03 07:00:19;37%;3:27;:|;;73;5132
2017-03-04 05:44:49;2017-03-04 11:35:48;46%;5:50;:|;;97;4242
2017-03-06 02:13:50;2017-03-06 07:01:58;43%;4:48;:(;;;3657
2017-03-07 00:59:13;2017-03-07 07:01:41;64%;6:02;:|;;67;2900
2017-03-08 00:49:58;2017-03-08 06:58:30;68%;6:08;:|;;82;3297
2017-03-09 00:33:44;2017-03-09 06:59:49;64%;6:26;:|;;68;3565
2017-03-09 23:45:12;2017-03-10 06:59:43;72%;7:14;:|;;68;4050
2017-03-15 03:04:28;2017-03-15 08:38:51;65%;5:34;:);;;1577
2017-03-16 03:19:57;2017-03-16 09:08:44;67%;5:48;:|;;;862
2017-03-17 02:34:08;2017-03-17 09:05:56;74%;6:31;:);;90;2980
2017-03-18 04:58:51;2017-03-18 11:18:56;73%;6:20;:);;84;5088
2017-03-19 04:17:04;2017-03-19 11:18:14;68%;7:01;:);;85;229
2017-03-20 01:38:10;2017-03-20 07:20:36;63%;5:42;:|;;87;1448
2017-03-21 00:38:19;2017-03-21 08:08:20;65%;7:30;:|;;77;4390
2017-03-22 01:09:30;2017-03-22 06:17:29;58%;5:07;:|;;;4253
2017-03-22 22:02:13;2017-03-23 07:51:24;100%;9:49;:);;82;2996
2017-03-24 00:56:57;2017-03-24 08:04:05;76%;7:07;:|;;75;2665
2017-03-25 02:25:13;2017-03-25 11:05:46;95%;8:40;:);;105;2460
2017-03-26 04:19:24;2017-03-26 10:59:27;82%;6:40;:);;77;1106
2017-03-27 01:27:41;2017-03-27 07:30:16;60%;6:02;:|;;64;357
2017-03-28 00:14:29;2017-03-28 07:30:05;62%;7:15;:|;;77;4345
2017-03-28 07:30:32;2017-03-28 08:03:00;7%;0:32;:);;74;0
2017-03-29 02:04:46;2017-03-29 07:30:13;59%;5:25;:|;;;5805
2017-03-30 00:42:30;2017-03-30 07:29:57;69%;6:47;:);;76;3382
2017-03-31 00:19:23;2017-03-31 07:29:40;64%;7:10;:|;;65;3270
2017-04-01 05:11:51;2017-04-01 12:39:17;83%;7:27;:);;74;1291
2017-04-02 02:15:37;2017-04-02 09:37:57;72%;7:22;:|;;62;1164
2017-04-03 03:36:37;2017-04-03 07:22:47;39%;3:46;:|;;85;1111
2017-04-04 02:13:36;2017-04-04 08:15:58;65%;6:02;:);;69;3543
2017-04-05 04:05:18;2017-04-05 08:24:18;49%;4:18;:|;;89;4234
2017-04-06 04:39:58;2017-04-06 08:28:42;43%;3:48;:);;84;3339
2017-04-07 02:53:38;2017-04-07 08:22:01;59%;5:28;:|;;;3247
2017-04-08 05:06:47;2017-04-08 11:21:50;68%;6:15;:);;80;1578
2017-04-09 03:47:39;2017-04-09 10:32:37;71%;6:44;:);;91;1061
2017-04-10 04:22:12;2017-04-10 07:29:36;34%;3:07;:);;65;2281
2017-04-11 02:19:55;2017-04-11 07:31:41;60%;5:11;:|;;85;3726
2017-04-12 02:40:10;2017-04-12 07:31:51;59%;4:51;:|;;;3519
2017-04-13 02:38:26;2017-04-13 07:28:26;48%;4:49;:|;;;4683
2017-04-14 02:54:03;2017-04-14 07:30:58;52%;4:36;:|;;69;4497
2017-04-15 07:24:54;2017-04-15 11:22:53;38%;3:57;:);;87;267
2017-04-16 04:26:22;2017-04-16 11:01:57;71%;6:35;:);;91;1226
2017-04-17 00:53:57;2017-04-17 07:29:23;75%;6:35;:|;;;2675
2017-04-18 02:20:16;2017-04-18 08:14:58;66%;5:54;:|;;76;3964
2017-04-19 02:09:55;2017-04-19 07:28:44;58%;5:18;:|;;92;3794
2017-04-20 05:08:16;2017-04-20 09:31:25;45%;4:23;:|;;72;3248
2017-04-20 22:27:18;2017-04-21 07:27:41;86%;9:00;:|;;57;1742
2017-04-22 05:05:01;2017-04-22 13:07:36;78%;8:02;:|;;75;5496
2017-04-23 01:30:37;2017-04-23 10:08:24;78%;8:37;:);;63;1525
2017-04-24 00:42:30;2017-04-24 07:18:34;56%;6:36;:|;;68;1431
2017-04-25 00:49:00;2017-04-25 04:18:32;32%;3:29;:);;73;2715
2017-04-25 04:19:57;2017-04-25 07:27:00;35%;3:07;:|;;;0
2017-04-26 01:55:49;2017-04-26 07:25:28;46%;5:29;:|;;72;1946
2017-04-27 02:27:00;2017-04-27 07:25:20;53%;4:58;:|;;;3901
2017-04-28 03:45:16;2017-04-28 07:27:01;44%;3:41;:|;;68;3836
2017-04-29 00:50:52;2017-04-29 08:47:00;82%;7:56;:);;74;2874
2017-04-29 22:17:50;2017-04-30 09:05:26;69%;10:47;:);;74;1398
2017-05-01 02:58:42;2017-05-01 07:29:56;55%;4:31;:|;;72;2055
2017-05-02 03:17:58;2017-05-02 09:07:56;60%;5:49;:);;72;5023
2017-05-03 00:36:52;2017-05-03 07:30:43;73%;6:53;:(;;92;2483
2017-05-04 02:34:17;2017-05-04 08:30:48;69%;5:56;:|;;;3716
2017-05-04 23:39:23;2017-05-05 08:27:21;86%;8:47;:|;;62;1525
2017-05-06 04:09:06;2017-05-06 10:14:25;63%;6:05;:);;80;2913
2017-05-07 01:56:20;2017-05-07 10:15:05;90%;8:18;:);;67;5805
2017-05-08 02:16:05;2017-05-08 07:30:15;56%;5:14;:|;;60;1140
2017-05-09 02:15:46;2017-05-09 08:28:22;67%;6:12;:|;;81;3898
2017-05-10 01:47:26;2017-05-10 07:25:36;59%;5:38;:);;88;3629
2017-05-11 03:00:51;2017-05-11 07:30:07;39%;4:29;:);;81;3963
2017-05-12 01:38:20;2017-05-12 07:20:40;59%;5:42;:|;;79;2045
2017-05-13 03:02:52;2017-05-13 11:46:50;98%;8:43;:|;;76;4715
2017-05-14 05:46:43;2017-05-14 13:59:10;92%;8:12;:);;87;6360
2017-05-15 02:22:46;2017-05-15 07:30:55;55%;5:08;:);;76;1825
2017-05-16 02:18:41;2017-05-16 07:29:41;62%;5:11;:|;;86;5529
2017-05-17 03:33:32;2017-05-17 07:29:46;45%;3:56;:|;;64;3193
2017-05-18 01:11:13;2017-05-18 07:29:24;70%;6:18;:|;;67;3304
2017-05-19 04:47:56;2017-05-19 09:19:44;50%;4:31;:|;;88;9462
2017-05-20 04:21:44;2017-05-20 11:21:41;77%;6:59;:);;103;4970
2017-05-21 02:36:01;2017-05-21 10:32:30;86%;7:56;:);;89;4811
2017-05-21 23:53:41;2017-05-22 07:41:57;80%;7:48;:);;78;2004
2017-05-23 07:15:59;2017-05-23 08:12:22;12%;0:56;:|;;107;834
2017-05-24 01:44:10;2017-05-24 08:14:39;66%;6:30;:);;75;2585
2017-05-25 01:12:30;2017-05-25 08:15:28;76%;7:02;:|;;;3975
2017-05-26 01:37:14;2017-05-26 08:12:47;71%;6:35;:);;69;1985
2017-05-27 05:45:19;2017-05-27 13:09:25;76%;7:24;:);;91;2807
2017-05-28 03:38:55;2017-05-28 11:50:31;85%;8:11;:);;91;2227
2017-05-29 03:11:25;2017-05-29 08:02:49;52%;4:51;;;;595
2017-05-30 00:49:59;2017-05-30 07:48:56;63%;6:58;:);;;2326
2017-05-31 00:38:42;2017-05-31 07:33:40;71%;6:54;:|;;88;5428
2017-06-01 00:32:36;2017-06-01 07:36:26;79%;7:03;:|;;84;3339
2017-06-02 01:38:28;2017-06-02 07:47:18;61%;6:08;:|;;64;2310
2017-06-03 01:47:50;2017-06-03 09:51:43;86%;8:03;:);;74;2921
2017-06-04 03:47:23;2017-06-04 11:41:01;79%;7:53;:);;89;2690
2017-06-05 00:55:37;2017-06-05 07:51:55;56%;6:56;:);;79;596
2017-06-06 00:02:43;2017-06-06 06:59:19;61%;6:56;:);;54;2131
2017-06-07 01:42:15;2017-06-07 06:53:02;57%;5:10;:|;;83;1738
2017-06-08 01:36:59;2017-06-08 07:30:00;56%;5:53;:|;;;3306
2017-06-09 02:14:15;2017-06-09 07:25:40;53%;5:11;:|;;62;3433
2017-06-10 03:43:08;2017-06-10 09:31:17;66%;5:48;:);;97;3831
2017-06-11 03:50:57;2017-06-11 09:38:58;65%;5:48;:);;75;1024
2017-06-12 00:08:40;2017-06-12 07:27:26;63%;7:18;:);;77;606
2017-06-13 00:41:45;2017-06-13 07:30:07;70%;6:48;:|;;68;2418
2017-06-14 02:18:41;2017-06-14 07:30:41;55%;5:11;:|;;65;5203
2017-06-15 00:09:45;2017-06-15 07:30:49;81%;7:21;:|;;63;2640
2017-06-16 03:25:16;2017-06-16 07:29:56;45%;4:04;:|;;;2019
2017-06-17 03:38:03;2017-06-17 10:31:43;82%;6:53;:);;86;2834
2017-06-18 02:30:58;2017-06-18 09:04:55;82%;6:33;:);;90;1968
2017-06-19 01:41:00;2017-06-19 07:25:51;61%;5:44;:);;;1648
2017-06-20 03:38:23;2017-06-20 07:31:08;40%;3:52;:|;;79;5184
2017-06-21 02:35:58;2017-06-21 07:30:07;46%;4:54;:|;;155;3656
2017-06-22 01:35:47;2017-06-22 07:32:09;49%;5:56;;;;4076
2017-06-23 01:27:00;2017-06-23 07:30:41;48%;6:03;:|;;79;2655
2017-06-24 02:31:35;2017-06-24 10:43:40;83%;8:12;:);;90;2614
2017-06-25 03:09:23;2017-06-25 10:13:30;88%;7:04;:);;100;2215
2017-06-26 01:26:47;2017-06-26 07:29:03;63%;6:02;:|;;62;5468
2017-06-27 01:47:49;2017-06-27 07:31:15;63%;5:43;:|;;80;4557
2017-06-28 01:59:43;2017-06-28 07:30:56;60%;5:31;;;;3543
2017-06-29 02:28:58;2017-06-29 07:30:29;51%;5:01;:|;;68;5555
2017-06-30 01:45:13;2017-06-30 07:32:33;49%;5:47;:|;;69;1259
2017-07-02 02:37:07;2017-07-02 08:27:44;60%;5:50;:|;;107;551
2017-07-03 01:40:09;2017-07-03 11:25:35;89%;9:45;:);;96;1840
2017-07-04 02:10:29;2017-07-04 10:06:31;87%;7:56;:);;72;1595
2017-07-05 01:45:35;2017-07-05 07:31:55;49%;5:46;:|;;64;3109
2017-07-06 01:14:42;2017-07-06 07:30:14;70%;6:15;:);;69;3293
2017-07-07 01:16:46;2017-07-07 07:14:48;60%;5:58;:);;84;5327
2017-07-08 02:19:03;2017-07-08 10:39:45;94%;8:20;:);;85;5204
2017-07-09 02:31:47;2017-07-09 09:06:39;57%;6:34;:);;77;3204
2017-07-10 00:22:20;2017-07-10 07:31:12;79%;7:08;:|;;62;11625
2017-07-11 01:05:59;2017-07-11 07:30:01;71%;6:24;:|;;63;4857
2017-07-12 01:13:22;2017-07-12 07:25:23;68%;6:12;:|;;61;3778
2017-07-14 01:44:18;2017-07-14 10:49:57;61%;9:05;:);;107;10689
2017-07-15 03:04:28;2017-07-15 09:48:19;57%;6:43;:);;87;10496
2017-07-16 00:52:55;2017-07-16 08:51:55;0%;0:00;;;;11270
2017-07-17 02:44:29;2017-07-17 06:30:36;47%;3:46;:|;;69;9879
2017-07-18 02:36:39;2017-07-18 07:31:20;57%;4:54;:|;;68;2868
2017-07-19 01:19:57;2017-07-19 07:29:14;65%;6:09;:);;;2278
2017-07-20 02:22:36;2017-07-20 07:31:22;59%;5:08;:|;;61;4273
2017-07-21 01:30:42;2017-07-21 07:32:11;64%;6:01;:|;;74;2074
2017-07-22 04:12:30;2017-07-22 11:35:38;79%;7:23;:);;86;3036
2017-07-23 04:50:48;2017-07-23 10:58:38;57%;6:07;:);;103;875
2017-07-24 00:24:41;2017-07-24 07:30:32;75%;7:05;:|;;;1276
2017-07-25 01:16:42;2017-07-25 07:28:19;55%;6:11;:|;;77;4734
2017-07-26 01:24:16;2017-07-26 07:31:09;66%;6:06;:|;;77;1843
2017-07-27 01:30:38;2017-07-27 07:30:29;61%;5:59;:(;;67;3802
2017-07-28 01:48:06;2017-07-28 07:29:42;48%;5:41;:);;64;3605
2017-07-29 01:03:45;2017-07-29 08:42:59;72%;7:39;:);;97;3335
2017-07-30 02:13:42;2017-07-30 09:29:46;61%;7:16;:);;86;6128
2017-07-31 23:43:24;2017-08-01 07:39:55;77%;7:56;:|;;60;12393
2017-08-01 23:46:04;2017-08-02 07:45:43;56%;7:59;:|;;60;2355
2017-08-03 02:18:10;2017-08-03 07:44:34;63%;5:26;:);;70;3244
2017-08-04 00:28:28;2017-08-04 07:44:24;63%;7:15;:|;;62;1738
2017-08-05 02:21:36;2017-08-05 03:04:26;9%;0:42;:|;;;2757
2017-08-05 03:05:24;2017-08-05 08:08:27;43%;5:03;:);;89;0
2017-08-07 00:28:48;2017-08-07 07:44:45;55%;7:15;:);;65;1112
2017-08-08 00:27:11;2017-08-08 07:43:48;69%;7:16;:);;83;2439
2017-08-09 00:50:21;2017-08-09 07:45:45;61%;6:55;:(;;86;1901
2017-08-10 00:57:22;2017-08-10 07:45:11;49%;6:47;:);;65;2212
2017-08-11 00:09:51;2017-08-11 07:42:40;58%;7:32;:|;;67;1802
2017-08-14 04:05:03;2017-08-14 07:45:46;18%;3:40;:(;;78;1531
2017-08-16 02:05:50;2017-08-16 07:46:01;34%;5:40;:|;;61;2587
2017-08-18 04:06:32;2017-08-18 07:44:56;23%;3:38;:|;;;2380
2017-08-20 01:22:09;2017-08-20 07:44:17;57%;6:22;:|;;68;227
2017-08-21 02:43:32;2017-08-21 11:01:21;85%;8:17;:|;;106;2190
2017-08-22 01:51:41;2017-08-22 08:26:11;75%;6:34;:|;;74;854
2017-08-23 06:18:23;2017-08-23 09:26:18;29%;3:07;:);;100;62
2017-08-24 04:16:40;2017-08-24 12:08:05;69%;7:51;:);;80;1792
2017-08-25 03:45:20;2017-08-25 08:25:33;38%;4:40;:);;79;5514
2017-08-27 03:34:02;2017-08-27 10:25:14;84%;6:51;:);;91;8607
2017-08-28 00:37:00;2017-08-28 07:47:21;78%;7:10;:);;76;3197
2017-08-29 00:47:22;2017-08-29 07:26:15;56%;6:38;:);;78;6550
2017-08-30 00:44:50;2017-08-30 07:46:40;69%;7:01;:);;69;8202
2017-08-31 00:28:35;2017-08-31 07:49:01;72%;7:20;:);;72;6318
2017-09-01 00:40:12;2017-09-01 06:54:00;59%;6:13;:);;84;8170
2017-09-02 01:25:31;2017-09-02 09:45:44;100%;8:20;:);;74;7690
2017-09-03 01:50:54;2017-09-03 09:23:27;76%;7:32;:);;77;3814
2017-09-04 01:14:59;2017-09-04 09:58:33;99%;8:43;:);;66;5000
2017-09-05 00:55:24;2017-09-05 07:16:41;52%;6:21;:|;;84;4793
2017-09-06 02:09:27;2017-09-06 07:13:15;51%;5:03;:|;;65;5732
2017-09-07 01:59:47;2017-09-07 07:16:39;56%;5:16;:);;72;8324
2017-09-08 01:36:52;2017-09-08 07:15:34;54%;5:38;:|;;70;7300
2017-09-09 06:09:38;2017-09-09 10:52:20;48%;4:42;:);;83;292
2017-09-10 04:39:30;2017-09-10 13:04:27;79%;8:24;:);;72;800
2017-09-11 00:13:37;2017-09-11 07:15:04;67%;7:01;:);;89;1126
2017-09-12 01:21:47;2017-09-12 07:16:02;60%;5:54;:|;;80;10162
2017-09-13 02:33:08;2017-09-13 07:15:21;57%;4:42;:);;;5633
2017-09-14 02:46:07;2017-09-14 07:17:26;49%;4:31;:);;95;7227
2017-09-15 06:05:56;2017-09-15 07:15:36;15%;1:09;:|;;74;207
2017-09-18 05:22:47;2017-09-18 08:12:57;12%;2:50;:);;;7052
2017-09-18 23:47:20;2017-09-19 08:13:40;72%;8:26;:);;97;6482
2017-09-21 02:59:08;2017-09-21 07:16:41;31%;4:17;:);;92;14019
2017-09-22 02:46:03;2017-09-22 07:16:23;52%;4:30;:);;68;6312
2017-09-23 01:02:09;2017-09-23 09:28:15;84%;8:26;:);;71;4017
2017-09-24 05:28:48;2017-09-24 09:09:51;39%;3:41;:);;67;14184
2017-09-25 01:30:42;2017-09-25 07:14:46;58%;5:44;:);;;4288
2017-09-26 05:45:10;2017-09-26 07:35:30;19%;1:50;:|;;81;11123
2017-09-27 03:33:38;2017-09-27 07:14:25;37%;3:40;:);;74;9251
2017-09-28 02:39:57;2017-09-28 07:15:01;53%;4:35;:|;;56;9263
2017-09-29 05:21:58;2017-09-29 07:10:58;20%;1:49;:|;;73;8407
2017-09-30 00:19:15;2017-09-30 08:42:52;93%;8:23;:);;65;3905
2017-10-01 04:22:47;2017-10-01 09:24:25;60%;5:01;:);;60;6937
2017-10-04 04:13:47;2017-10-04 07:45:09;35%;3:31;:|;;90;12050
2017-10-05 01:10:31;2017-10-05 05:45:39;50%;4:35;:|;;67;6249
2017-10-08 02:16:21;2017-10-08 09:16:53;63%;7:00;:);;92;5136
2017-10-09 03:45:01;2017-10-09 08:30:32;35%;4:45;:|;;97;5202
2017-10-10 01:25:48;2017-10-10 09:01:41;49%;7:35;:);;70;2157
2017-10-11 03:16:17;2017-10-11 07:49:35;44%;4:33;:);;109;6426
2017-10-12 00:52:37;2017-10-12 08:01:46;71%;7:09;:);;;9466
2017-10-13 06:30:11;2017-10-13 08:31:49;10%;2:01;:);;69;2458
2017-10-14 02:58:32;2017-10-14 10:55:04;83%;7:56;:);;83;4166
2017-10-15 04:13:20;2017-10-15 09:11:34;51%;4:58;:);;66;2988
2017-10-16 01:39:48;2017-10-16 08:30:44;68%;6:50;:);;;4582
2017-10-17 04:23:41;2017-10-17 08:21:11;38%;3:57;:);;91;10729
2017-10-18 02:25:40;2017-10-18 08:26:17;53%;6:00;:);;79;9074
2017-10-19 03:45:39;2017-10-19 08:27:04;48%;4:41;:);;;5973
2017-10-20 04:13:16;2017-10-20 08:00:32;31%;3:47;:);;90;9582
2017-10-22 04:04:44;2017-10-22 09:41:46;53%;5:37;:);;97;6818
2017-10-23 03:27:44;2017-10-23 07:53:38;44%;4:25;:);;68;8097
2017-10-24 01:22:54;2017-10-24 07:33:01;61%;6:10;:);;101;11234
2017-10-25 01:11:49;2017-10-25 07:58:39;68%;6:46;:|;;67;10530
2017-10-26 03:38:08;2017-10-26 07:52:46;40%;4:14;:|;;90;10532
2017-10-27 00:54:32;2017-10-27 07:45:52;72%;6:51;:|;;68;5528
2017-10-28 04:14:19;2017-10-28 10:50:56;57%;6:36;:);;64;9450
2017-10-29 02:44:50;2017-10-29 10:24:56;87%;7:40;:);;59;1506
2017-10-30 02:26:01;2017-10-30 07:44:34;58%;5:18;:);;71;1727
2017-10-31 02:30:28;2017-10-31 07:54:01;60%;5:23;:);;75;7827
2017-10-31 23:08:00;2017-11-01 08:14:04;85%;9:06;:);;67;6349
2017-11-02 02:23:11;2017-11-02 07:57:38;62%;5:34;:);;77;19014
2017-11-03 01:40:44;2017-11-03 07:42:46;65%;6:02;:);;100;7419
2017-11-04 04:47:24;2017-11-04 08:44:44;43%;3:57;:);;96;6530
2017-11-05 04:20:29;2017-11-05 08:07:06;33%;3:46;:);;75;1800
2017-11-06 02:48:21;2017-11-06 08:26:12;57%;5:37;:);;72;2416
2017-11-06 23:07:36;2017-11-07 08:27:21;94%;9:19;:);;104;5104
2017-11-08 04:14:23;2017-11-08 08:31:06;49%;4:16;:);;77;8411
2017-11-09 02:39:47;2017-11-09 08:21:49;60%;5:42;:);;69;5384
2017-11-10 00:42:25;2017-11-10 08:28:38;79%;7:46;:);;73;6392
2017-11-11 01:23:06;2017-11-11 07:28:21;69%;6:05;:);;73;8337
2017-11-12 05:26:34;2017-11-12 09:59:57;47%;4:33;:);;118;4196
2017-11-14 00:47:27;2017-11-14 08:30:16;73%;7:42;:);;61;10861
2017-11-15 00:09:00;2017-11-15 08:03:03;89%;7:54;:);;86;9129
2017-11-16 01:38:41;2017-11-16 08:26:59;79%;6:48;:);;77;6279
2017-11-17 05:17:04;2017-11-17 07:30:38;29%;2:13;:|;;63;9491
2017-11-18 04:17:44;2017-11-18 07:51:35;37%;3:33;:);;85;8526
2017-11-19 02:25:13;2017-11-19 09:29:50;74%;7:04;:);;102;4921
2017-11-20 05:25:57;2017-11-20 07:23:40;24%;1:57;:);;91;4266
2017-11-21 02:13:29;2017-11-21 08:17:21;61%;6:03;:);;61;5922
2017-11-22 03:37:11;2017-11-22 07:28:42;36%;3:51;:);;86;6741
2017-11-23 03:38:15;2017-11-23 09:06:12;54%;5:27;:);;98;2527
2017-11-24 01:37:56;2017-11-24 11:47:01;83%;10:09;:);;110;2944
2017-11-25 01:40:34;2017-11-25 07:32:06;58%;5:51;:);;111;1907
2017-11-26 04:28:50;2017-11-26 09:40:47;50%;5:11;:);;83;1402
2017-11-27 04:12:12;2017-11-27 07:03:53;31%;2:51;:);;129;3257
2017-11-29 03:42:52;2017-11-29 07:29:56;31%;3:47;:);;75;8041
2017-11-30 02:22:07;2017-11-30 07:08:48;45%;4:46;:);;97;7450
2017-12-01 01:54:57;2017-12-01 07:02:18;52%;5:07;:);;99;6178
